1000
4	784
6	37
7	793
8	436
8	547
12	927
14	567
15	820
18	492
22	423
22	563
25	484
26	461
27	495
30	891
38	669
46	922
51	972
52	523
53	876
56	801
58	914
59	720
60	632
62	228
63	969
64	257
64	484
71	280
72	141
73	888
78	697
83	148
83	991
85	244
86	7
86	140
90	248
90	423
95	162
95	947
97	647
103	951
104	130
104	512
105	387
107	466
108	687
113	327
118	370
121	731
124	188
126	803
127	12
127	312
129	136
130	560
131	28
133	16
133	816
134	696
135	175
136	131
140	253
140	581
140	953
141	246
142	450
142	873
143	531
144	998
146	235
147	36
147	515
149	839
157	910
163	349
164	926
171	542
171	787
172	794
175	466
176	569
176	665
179	946
183	36
183	919
186	392
186	625
186	667
187	233
188	31
190	785
199	351
201	539
203	550
204	489
205	515
214	686
217	18
218	818
221	658
224	708
225	130
229	79
237	23
242	86
242	661
242	699
243	297
245	127
246	333
248	43
250	716
251	615
251	981
252	217
252	754
253	245
254	320
257	543
259	41
260	919
261	342
262	408
271	614
276	196
280	20
280	984
284	175
287	135
288	259
289	330
294	266
294	587
298	160
299	240
299	288
303	78
306	683
313	710
315	824
321	44
325	230
325	817
327	946
330	468
331	60
331	556
335	108
337	560
339	623
347	501
352	5
353	921
356	597
358	71
359	825
360	786
361	138
362	161
364	838
365	46
366	303
366	580
374	444
374	689
375	925
379	807
379	907
382	210
382	848
384	617
385	796
386	496
395	403
402	721
406	272
409	272
411	426
413	783
414	177
414	615
418	908
419	699
419	951
422	114
423	318
423	707
423	914
425	470
426	941
427	879
428	901
429	920
434	717
434	905
436	99
437	149
440	55
440	424
441	359
441	502
442	883
443	108
443	868
445	905
449	654
455	276
458	482
458	844
459	651
460	26
464	873
468	151
471	743
474	678
476	375
479	593
481	746
482	112
483	186
483	693
486	529
488	220
488	574
489	520
491	526
491	986
492	427
498	955
499	323
499	392
504	71
504	426
506	532
511	494
512	175
516	825
518	750
520	174
521	619
522	33
522	800
524	440
525	169
525	248
534	1
535	9
536	417
537	352
539	301
542	821
543	870
545	906
546	6
547	195
547	465
551	352
551	717
562	428
562	815
573	254
576	522
576	998
579	597
579	915
580	211
580	386
580	859
581	180
583	66
583	94
583	169
583	966
592	692
597	424
599	193
599	573
600	529
600	757
602	26
603	54
604	290
605	664
606	941
608	912
608	953
609	450
611	469
612	720
616	750
621	115
623	650
629	356
629	937
630	952
636	255
636	587
638	522
641	288
643	240
644	128
645	184
646	828
649	252
649	730
652	250
652	259
655	276
657	240
657	952
660	279
660	619
660	663
661	929
663	177
665	810
666	539
667	345
669	84
670	824
676	337
679	832
680	559
683	614
685	684
686	420
689	682
690	335
691	424
694	432
694	880
695	359
695	513
697	199
697	201
699	288
699	538
701	364
701	418
704	427
706	34
707	162
707	600
709	800
714	319
714	682
715	355
715	489
717	251
717	395
722	508
723	432
723	776
727	539
728	591
730	338
732	429
735	691
736	475
738	560
739	34
739	713
740	256
745	883
750	528
751	574
752	805
753	443
755	410
755	689
756	401
758	182
758	493
759	61
760	312
763	380
765	994
772	514
772	625
773	241
775	197
775	764
778	772
783	366
784	512
787	399
790	391
790	807
791	899
799	39
800	629
802	181
802	228
803	588
806	717
809	341
811	821
812	764
813	322
813	552
814	697
817	76
819	153
820	635
821	316
823	500
824	275
827	642
836	207
837	258
838	459
840	825
841	225
844	376
845	896
846	280
848	931
850	55
850	493
850	825
853	837
854	660
858	153
858	825
862	315
863	518
865	720
867	685
868	328
872	736
874	812
877	408
878	256
881	904
884	32
884	300
884	491
885	739
887	815
888	428
890	446
891	675
891	785
896	928
898	548
903	590
905	424
906	231
906	536
906	543
907	838
910	803
916	757
918	336
919	321
919	804
921	887
923	730
924	636
926	207
926	287
930	455
939	629
940	518
941	200
941	696
942	3
944	314
944	746
945	759
945	760
948	177
952	470
952	990
956	837
957	721
957	728
959	470
964	153
964	514
964	901
968	539
969	685
970	341
970	898
971	791
972	47
974	965
977	356
979	940
981	878
985	869
986	735
989	81
989	430
995	146
995	737
997	3
998	814
